,Id,DistrictId,Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Ecology_2,Ecology_3,Social_1,Social_2,Social_3,Healthcare_1,Helthcare_2,Shops_1,Shops_2
0,4567,44,19.0,20.0,17,10.0,10,25.0,26,0.036122292,B,B,24,4378,22,1036.0,19,19,B
1,5925,62,19.0,21.0,21,17.0,25,25.0,2017,0.072157581,B,B,13,629,19,unknown,22,22,A
2,960,12,13.0,22.0,unknown,25.0,19,19.0,1977,0.211401214,B,B,25,1892,22,unknown,22,19,B
3,3848,23,23.0,23.0,10,18.0,13,13.0,29,0.014072961,B,B,13,475,22,unknown,22,22,B
4,746,74,19.0,24.0,unknown,19.0,14,25.0,1977,0.309479124,B,B,15,7715,15,990.0,22,18,B
5,868,38,23.0,25.0,10,17.0,15,23.0,2011,0.060753049,B,B,10,2787,13,520.0,22,25,B
6,672,62,19.0,24.0,17,21.0,14,25.0,2014,0.072157581,B,B,13,629,19,unknown,22,22,A
7,2471,13,13.0,12.0,25,18.0,15,25.0,33,22.0,B,B,23,7425,19,unknown,13,10,B
8,4510,19,19.0,23.0,18,25.0,17,25.0,2014,0.007122317,B,B,19,264,22,unknown,22,19,B
9,8354,62,13.0,29.0,19,17.0,19,17.0,1981,0.002211665,B,B,14,7614,23,unknown,19,10,A
10,6393,14,19.0,30.0,20,25.0,15,25.0,2009,0.43788524,B,B,23,5735,23,1084.0,22,10,B
11,13270,25,23.0,31.0,unknown,19.0,15,19.0,1977,0.161531741,B,B,25,5648,19,30.0,13,15,B
12,5250,96,15.0,23.0,22,17.0,25,24.0,2014,0.041116354,B,B,53,14892,15,unknown,19,15,B
13,16751,74,19.0,23.0,unknown,19.0,14,25.0,1977,0.075778755,B,B,18,1437,23,unknown,22,13,B
14,11404,12,19.0,10.0,unknown,19.0,24,19.0,1977,0.072157581,B,B,13,629,19,unknown,22,22,A
15,10588,113,13.0,15.0,25,17.0,18,22.0,2004,0.050755569,B,B,24,5469,19,145.0,22,19,B
16,14925,22,13.0,36.0,unknown,19.0,10,25.0,1977,0.118537385,B,B,30,6207,19,1183.0,19,22,B
17,6791,19,23.0,37.0,12,19.0,15,24.0,1977,0.007122317,B,B,19,264,22,unknown,22,19,B
18,16097,57,19.0,38.0,23,23.0,15,17.0,2007,0.133215333,B,B,49,11395,23,1406.0,23,15,A
19,16428,170,23.0,14.0,29,17.0,10,25.0,1990,0.21843974,B,B,21,4472,18,1450.0,15,25,A
20,6945,53,23.0,40.0,unknown,21.0,21,23.0,2017,0.049637257,B,B,10,7759,22,229.0,19,23,B
21,3190,25,13.0,41.0,unknown,19.0,25,19.0,1977,0.161531741,B,B,25,5648,19,30.0,13,15,B
22,15709,24,23.0,25.0,23,19.0,24,19.0,2015,0.041124634,B,B,10,9515,10,unknown,19,17,B
23,13155,41,13.0,43.0,23,18.0,15,25.0,1979,0.394094211,B,B,23,662,22,15,22,22,B
24,7675,13,13.0,44.0,10,14.0,17,23.0,26,0.298204575,B,B,17,4048,23,unknown,19,23,B
25,14686,19,23.0,22.0,15,19.0,18,25.0,1977,0.007122317,B,B,19,264,22,unknown,22,19,B
26,609,25,13.0,10.0,36,10.0,18,10.0,52,0.161531741,B,B,25,5648,19,30.0,13,15,B
27,11155,150,13.0,13.0,37,10.0,15,10.0,29,0.08761909,B,B,14,1497,10,unknown,19,22,B
28,10869,23,23.0,24.0,38,19.0,21,25.0,2015,0.075778755,B,B,18,1437,23,unknown,22,13,B
29,15742,30,13.0,49.0,unknown,19.0,23,25.0,1977,7.81528e-05,B,B,22,6398,141,1046.0,23,23,B
30,9245,19,13.0,25.0,unknown,22.0,15,24.0,1977,0.007122317,B,B,19,264,22,unknown,22,19,B
31,3340,12,23.0,51.0,41,19.0,25,25.0,1977,0.211401214,B,B,25,1892,22,unknown,22,19,B
32,2359,53,13.0,52.0,25,17.0,25,24.0,2020,0.049637257,B,B,10,7759,22,229.0,19,23,B
33,8070,38,13.0,53.0,43,25.0,14,25.0,59,0.060753049,B,B,10,2787,13,520.0,22,25,B
34,13707,19,19.0,54.0,44,25.0,13,25.0,2015,0.007122317,B,B,19,264,22,unknown,22,19,B
35,16079,21,15.0,55.0,22,18.0,18,25.0,26,0.0001696759999999,B,B,36,5992,22,unknown,19,19,B
36,15937,25,15.0,56.0,10,23.0,15,24.0,1997,0.161531741,B,B,25,5648,19,30.0,13,15,B
37,14090,13,19.0,57.0,13,25.0,17,24.0,26,22.0,B,B,23,7425,19,unknown,13,10,B
38,9008,72,13.0,58.0,24,10.0,10,25.0,1980,0.210473241,B,B,21,2398,13,1994.0,23,22,B
39,16384,19,13.0,59.0,49,17.0,18,25.0,2017,0.007122317,B,B,19,264,22,unknown,22,19,B
40,11657,87,23.0,19.0,25,18.0,23,23.0,1980,0.100455735,B,B,43,7227,22,unknown,19,18,A
41,13151,25,19.0,36.0,unknown,22.0,22,25.0,2016,0.069753361,B,B,53,13670,15,unknown,19,21,B
42,8990,12,23.0,62.0,52,18.0,21,25.0,1988,0.211401214,B,B,25,1892,22,unknown,22,19,B
43,11857,21,13.0,63.0,53,10.0,10,10.0,69,0.0001696759999999,B,B,36,5992,22,unknown,19,19,B
44,1565,52,19.0,64.0,54,14.0,15,25.0,1994,0.371148999,B,B,10,7065,19,750.0,13,10,B
45,8174,23,19.0,65.0,unknown,22.0,23,23.0,2016,0.034656082,B,B,22,168,22,unknown,22,22,B
46,9247,67,23.0,66.0,56,25.0,17,25.0,1979,0.100455735,B,B,43,7227,22,unknown,19,18,A
47,10478,18,23.0,67.0,57,19.0,17,19.0,2013,0.243204519,B,B,10,1564,22,540.0,22,22,B
48,15509,12,13.0,68.0,58,17.0,10,25.0,2016,0.011654127,B,B,15,915,22,unknown,22,22,B
49,8306,179,13.0,69.0,59,10.0,18,10.0,75,0.037316452,B,B,23,6748,93,562.0,15,17,B
50,6642,19,13.0,70.0,unknown,19.0,23,25.0,1977,0.007122317,B,B,19,264,22,unknown,22,19,B
51,7472,31,13.0,71.0,36,10.0,25,10.0,77,0.151346216,B,A,23,5889,17,830.0,15,19,B
52,15989,62,19.0,72.0,unknown,22.0,15,22.0,1977,0.072157581,B,B,13,629,19,unknown,22,22,A
53,13682,12,19.0,73.0,63,14.0,24,24.0,2007,0.07542368,B,B,21,3097,22,unknown,22,22,B
54,163,62,23.0,74.0,unknown,19.0,19,23.0,2018,0.072157581,B,B,13,629,19,unknown,22,22,A
55,7076,12,13.0,75.0,unknown,19.0,23,19.0,1977,0.072157581,B,B,13,629,19,unknown,22,22,A
56,7478,167,23.0,76.0,66,15.0,15,15.0,82,0.174739084,B,B,25,3379,25,100.0,22,23,B
57,3029,10,19.0,77.0,67,14.0,21,18.0,2000,0.090799103,B,B,74,19083,13,unknown,10,10,B
58,1814,19,19.0,78.0,68,22.0,15,25.0,1977,0.007122317,B,B,19,264,22,unknown,22,19,B
59,10057,12,19.0,79.0,69,18.0,17,10.0,2018,0.072157581,B,B,13,629,19,unknown,22,22,A
60,15100,23,23.0,80.0,unknown,19.0,15,25.0,1977,0.075778755,B,B,18,1437,23,unknown,22,13,B
61,12694,12,23.0,81.0,71,22.0,14,22.0,2015,0.072157581,B,B,13,629,19,unknown,22,22,A
62,6291,78,19.0,82.0,72,18.0,25,25.0,2002,0.092290642,B,B,21,4346,13,165.0,19,13,B
63,12603,12,23.0,83.0,73,25.0,13,23.0,2014,0.011654127,B,B,15,915,22,unknown,22,22,B
64,3218,38,19.0,84.0,unknown,19.0,14,25.0,2015,0.060753049,B,B,10,2787,13,520.0,22,25,B
65,13456,18,19.0,85.0,75,18.0,25,25.0,2015,0.243204519,B,B,10,1564,22,540.0,22,22,B
66,10170,24,13.0,86.0,76,18.0,23,23.0,1982,0.041124634,B,B,10,9515,10,unknown,19,17,B
67,4530,23,13.0,87.0,77,10.0,23,25.0,2013,0.075778755,B,B,18,1437,23,unknown,22,13,B
68,13329,23,13.0,88.0,78,19.0,13,25.0,1977,0.075778755,B,B,18,1437,23,unknown,22,13,B
69,4820,22,19.0,89.0,unknown,19.0,25,25.0,1977,0.118537385,B,B,30,6207,19,1183.0,19,22,B
70,10896,21,13.0,90.0,80,10.0,23,10.0,96,0.034331497,B,B,25,5487,23,unknown,22,15,B
71,13416,12,19.0,91.0,10,19.0,21,19.0,1977,0.072157581,B,B,13,629,19,unknown,22,22,A
72,2701,29,23.0,92.0,17,10.0,23,10.0,29,0.069660344,B,B,31,6119,15,unknown,19,13,B
73,11265,10,23.0,93.0,25,17.0,24,25.0,2015,0.069753361,B,B,53,13670,15,unknown,19,21,B
74,9189,169,23.0,94.0,18,10.0,25,25.0,1977,0.300322518,B,B,52,10311,18,unknown,19,25,B
75,1858,100,19.0,95.0,19,10.0,23,14.0,101,0.200146802,B,B,23,3975,14,770.0,13,22,B
76,14536,19,23.0,96.0,20,19.0,10,25.0,1977,0.007122317,B,B,19,264,22,unknown,22,19,B
77,6199,55,23.0,97.0,21,17.0,18,25.0,1989,0.041365446,B,B,31,5569,22,unknown,19,15,B
78,14730,14,19.0,98.0,22,18.0,25,25.0,104,0.428825818,B,B,25,5011,14,730.0,22,13,B
79,7510,44,13.0,19.0,23,14.0,18,17.0,1985,0.122190486,B,B,25,4724,13,1308.0,19,23,B
80,15505,96,19.0,100.0,24,25.0,10,25.0,2004,0.041116354,B,B,53,14892,15,unknown,19,15,B
81,7446,100,19.0,101.0,25,18.0,17,25.0,107,0.200146802,B,B,23,3975,14,770.0,13,22,B
82,14016,179,13.0,102.0,24,25.0,25,10.0,96,0.306977489,B,B,12,5148,24,1575.0,10,25,B
83,14113,12,19.0,103.0,12,10.0,18,10.0,1981,0.051815435,B,B,10,1227,22,unknown,22,22,B
84,8721,21,23.0,104.0,23,25.0,10,10.0,110,0.194489265,B,B,13,8004,23,125.0,23,10,B
85,6193,19,23.0,105.0,29,17.0,13,24.0,1999,0.033493708,B,B,66,10573,19,1322.0,23,14,B
86,5717,19,13.0,106.0,30,18.0,15,25.0,26,0.033493708,B,B,66,10573,19,1322.0,23,14,B
87,5427,24,23.0,107.0,31,18.0,14,23.0,1982,0.041124634,B,B,10,9515,10,unknown,19,17,B
88,9520,108,23.0,108.0,23,14.0,23,14.0,77,22.0,B,B,25,5027,15,10,19,19,B
89,6869,12,19.0,109.0,unknown,19.0,17,19.0,1977,0.211401214,B,B,25,1892,22,unknown,22,19,B
90,1658,78,19.0,110.0,10,18.0,18,23.0,26,0.092290642,B,B,21,4346,13,165.0,19,13,B
